soil_moisture,soil_ph,soil_ec,rgb_red,rgb_green,rgb_blue,temperature,humidity,leaf_wetness,scenario
72.0,6.45,1.0,81.52,71.75,56.82,27.83,91.51,82.71,sigatoka_risk
73.62,6.43,1.73,86.36,90.35,51.34,28.01,90.92,83.11,sigatoka_risk
59.01,5.77,1.34,77.9,75.85,56.58,25.99,91.48,79.99,sigatoka_risk
58.59,6.18,1.05,69.96,85.21,45.37,26.78,89.02,83.89,sigatoka_risk
60.39,5.7,0.54,110.01,52.38,37.54,27.38,68.12,17.52,nitrogen_deficient
65.25,6.36,1.29,81.05,94.25,55.15,30.13,88.64,68.56,sigatoka_risk
74.61,6.06,1.59,86.63,72.35,52.45,25.71,86.95,84.2,sigatoka_risk
61.55,6.27,1.15,78.68,89.98,63.42,28.18,85.19,81.86,sigatoka_risk
28.95,7.05,2.7,107.63,75.7,38.63,32.94,40.93,12.93,water_stress
56.9,6.38,1.47,73.28,95.95,57.23,22.62,65.88,11.87,healthy
29.96,6.28,3.46,87.25,64.85,53.32,29.28,44.48,13.41,water_stress
64.7,6.32,1.4,69.92,116.0,56.14,29.25,59.22,28.95,healthy
58.67,6.46,1.05,85.66,84.83,59.89,28.92,96.67,82.55,sigatoka_risk
21.41,6.23,3.22,85.15,82.5,40.36,32.15,37.41,10.62,water_stress
19.58,6.58,3.71,106.86,68.22,47.0,35.67,48.45,14.09,water_stress
19.35,6.98,3.86,95.75,72.51,41.93,30.04,37.45,0.97,water_stress
57.16,5.25,0.61,100.94,55.88,40.87,26.1,70.25,3.85,nitrogen_deficient
18.74,6.34,3.47,106.37,62.42,54.64,32.77,49.66,2.42,water_stress
25.12,6.25,3.64,95.64,78.98,54.69,37.74,52.07,12.86,water_stress
47.17,5.45,0.47,105.17,67.71,46.97,22.64,59.48,15.13,nitrogen_deficient
63.95,6.13,1.37,75.09,81.11,55.29,26.56,89.82,69.64,sigatoka_risk
59.31,5.51,1.56,77.67,99.6,50.58,26.92,69.17,10.4,healthy
56.69,5.09,0.51,100.2,66.91,46.49,26.39,56.76,3.88,nitrogen_deficient
75.34,5.82,1.2,88.33,92.24,62.88,26.52,94.78,77.16,sigatoka_risk
53.7,5.75,1.64,78.61,116.25,44.74,27.2,70.24,1.05,healthy
68.96,6.2,1.22,71.01,106.05,45.69,24.0,69.97,11.61,healthy
51.88,5.82,1.91,72.71,106.51,47.51,24.09,72.29,21.41,healthy
29.3,6.17,2.8,107.11,75.34,42.11,31.85,50.18,4.26,water_stress
22.97,6.66,2.95,107.46,83.09,39.51,33.34,38.77,10.0,water_stress
27.99,7.07,3.66,89.54,81.42,49.91,35.26,52.33,11.91,water_stress
48.53,5.05,0.53,114.31,72.3,43.67,26.34,69.06,17.09,nitrogen_deficient
63.64,5.5,1.88,73.56,117.86,55.69,25.45,64.25,24.8,healthy
59.47,6.46,1.29,74.66,98.21,47.38,28.85,88.04,85.93,sigatoka_risk
47.17,5.67,0.61,103.04,49.85,37.87,28.93,75.55,21.33,nitrogen_deficient
62.87,5.8,0.45,99.29,62.44,38.78,27.71,71.98,19.72,nitrogen_deficient
66.2,6.2,1.36,67.79,95.94,54.05,26.0,66.71,14.64,healthy
69.65,6.35,1.5,72.81,76.48,54.36,25.52,84.47,73.36,sigatoka_risk
59.64,6.52,1.52,78.71,82.82,64.5,31.47,88.03,66.32,sigatoka_risk
24.59,6.19,3.39,95.83,59.58,49.64,34.66,36.2,9.13,water_stress
59.05,5.84,1.98,78.58,106.89,56.65,25.07,60.89,17.9,healthy
65.73,5.94,0.5,112.3,55.25,31.39,23.16,69.66,20.34,nitrogen_deficient
64.73,5.85,1.63,68.54,111.52,51.14,23.3,60.57,3.02,healthy
61.91,5.51,0.66,119.02,64.55,37.57,28.02,71.66,23.93,nitrogen_deficient
16.3,6.81,3.02,109.1,63.06,46.23,32.88,44.96,7.01,water_stress
57.22,5.09,0.46,101.6,58.34,49.89,30.35,64.43,23.18,nitrogen_deficient
